dataset,seed_no,measurement_type,measurement_num,EXTREME_pixel_observe,measurement_loss,MSE_loss,noise,round
mnist,2024,gaussian_block_adaptive,10,NA,75.24152481856171,0.14896503001072375,20_0,2
mnist,2024,gaussian_block_adaptive,20,NA,240.22742034847016,0.08910592074741062,20_0,0
mnist,2024,gaussian_block_adaptive,20,NA,128.2497322505045,0.09180828376448631,20_0,1
mnist,2024,gaussian_block_adaptive,20,NA,241.3874393646178,0.08151902364327539,20_0,2
mnist,2024,gaussian_block_adaptive,30,NA,280.3557436992407,0.06833695653229867,20_0,0
mnist,2024,gaussian_block_adaptive,30,NA,226.6971009114621,0.09113349403851108,20_0,1
mnist,2024,gaussian_block_adaptive,30,NA,310.778468581856,0.08692590829331573,20_0,2
mnist,2024,gaussian_block_adaptive,40,NA,440.8249305376179,0.12462610055878767,20_0,0
mnist,2024,gaussian_block_adaptive,40,NA,277.78974870706736,0.11007455723359295,20_0,1
mnist,2024,gaussian_block_adaptive,40,NA,321.2009348509834,0.09336509394485074,20_0,2
mnist,2024,gaussian_block_adaptive,50,NA,390.60474776260344,0.08990847804936562,20_0,0
mnist,2024,gaussian_block_adaptive,50,NA,359.3384110428012,0.1119639201444464,20_0,1
mnist,2024,gaussian_block_adaptive,50,NA,341.9536479124705,0.12585714849263865,20_0,2
mnist,2024,gaussian_block_adaptive,10,NA,226.48718539342752,0.14332167329133366,25_0,0
mnist,2024,gaussian_block_adaptive,10,NA,739.926877330972,0.15685271274783844,25_0,1
mnist,2024,gaussian_block_adaptive,10,NA,216.02372537867922,0.12201464997868479,25_0,2
mnist,2024,gaussian_block_adaptive,20,NA,746.6297231508381,0.07434341561343177,25_0,0
mnist,2024,gaussian_block_adaptive,20,NA,274.56246868805215,0.12109331357904167,25_0,1
mnist,2024,gaussian_block_adaptive,20,NA,253.28752069560542,0.09624288674001487,25_0,2
mnist,2024,gaussian_block_adaptive,30,NA,501.2090203107634,0.07584897443168966,25_0,0
mnist,2024,gaussian_block_adaptive,30,NA,577.7337816733246,0.15492027590692897,25_0,1
mnist,2024,gaussian_block_adaptive,30,NA,343.85813788550587,0.12649433685101052,25_0,2
mnist,2024,gaussian_block_adaptive,40,NA,635.8473890875981,0.21094416403635896,25_0,0
mnist,2024,gaussian_block_adaptive,40,NA,519.9824620969995,0.09276453997339999,25_0,1
mnist,2024,gaussian_block_adaptive,40,NA,421.4171170778078,0.13706493558341945,25_0,2
mnist,2024,gaussian_block_adaptive,50,NA,514.8600136754588,0.07887109261101836,25_0,0
mnist,2024,gaussian_block_adaptive,50,NA,457.7062727377463,0.14281846259951012,25_0,1
mnist,2024,gaussian_block_adaptive,50,NA,537.6077130231511,0.13154793952683497,25_0,2
mnist,2024,gaussian_block_adaptive,10,NA,255.82504146104958,0.0751767758154831,30_0,0
mnist,2024,gaussian_block_adaptive,10,NA,467.04996038163847,0.11906328030537551,30_0,1
mnist,2024,gaussian_block_adaptive,10,NA,428.7897034865215,0.1313013745117594,30_0,2
mnist,2024,gaussian_block_adaptive,20,NA,461.93416652645584,0.14505810820621207,30_0,0
mnist,2024,gaussian_block_adaptive,20,NA,483.2649278417316,0.11913798727935826,30_0,1
mnist,2024,gaussian_block_adaptive,20,NA,680.5420012542565,0.1634315146685079,30_0,2
mnist,2024,gaussian_block_adaptive,30,NA,586.9931449313268,0.07914868686231355,30_0,0
mnist,2024,gaussian_block_adaptive,30,NA,794.7584173539192,0.1295515026423807,30_0,1
mnist,2024,gaussian_block_adaptive,30,NA,828.4335089893906,0.07313922060250964,30_0,2
mnist,2024,gaussian_block_adaptive,40,NA,757.0134349944786,0.08889261977604701,30_0,0
mnist,2024,gaussian_block_adaptive,40,NA,597.5077148801842,0.05149800674928543,30_0,1
mnist,2024,gaussian_block_adaptive,40,NA,597.9551972155621,0.07021121887555709,30_0,2
mnist,2024,gaussian_block_adaptive,50,NA,502.5024866134955,0.1154970963631057,30_0,0
mnist,2024,gaussian_block_adaptive,50,NA,529.1061260939548,0.053238649516602676,30_0,1
mnist,2024,gaussian_block_adaptive,50,NA,633.2386787449855,0.15862890382094827,30_0,2
mnist,2026,gaussian_block_adaptive,10,NA,11.774908491477039,0.07025056079258861,0_0,0
mnist,2026,gaussian_block_adaptive,10,NA,28.442133857163878,0.07335833324855592,0_0,1
mnist,2026,gaussian_block_adaptive,10,NA,33.10983053750246,0.07354827317564124,0_0,2
mnist,2026,gaussian_block_adaptive,20,NA,27.56555563355679,0.06713626759810142,0_0,0
mnist,2026,gaussian_block_adaptive,20,NA,27.991945990324393,0.12571833456277495,0_0,1
mnist,2026,gaussian_block_adaptive,20,NA,56.88855307971396,0.06253553029494771,0_0,2
mnist,2026,gaussian_block_adaptive,30,NA,39.332968969419774,0.06123822287952399,0_0,0
mnist,2026,gaussian_block_adaptive,30,NA,48.277471779312435,0.02145092678368659,0_0,1
mnist,2026,gaussian_block_adaptive,30,NA,49.209664821469154,0.06392875912002384,0_0,2
mnist,2026,gaussian_block_adaptive,40,NA,30.828411402935537,0.02006869261494161,0_0,0
mnist,2026,gaussian_block_adaptive,40,NA,65.29404377710598,0.0597280069727838,0_0,1
mnist,2026,gaussian_block_adaptive,40,NA,62.48733210326604,0.04054841948906388,0_0,2
mnist,2026,gaussian_block_adaptive,50,NA,56.9315786792989,0.03753852326965307,0_0,0
mnist,2026,gaussian_block_adaptive,50,NA,65.47512661474943,0.04997492411051891,0_0,1
mnist,2026,gaussian_block_adaptive,50,NA,45.135719436635576,0.039116747556986776,0_0,2
mnist,2026,gaussian_block_adaptive,10,NA,37.09159364754744,0.07292729072790419,0_1,0
mnist,2026,gaussian_block_adaptive,10,NA,21.51613388103745,0.10670926410523442,0_1,1
mnist,2026,gaussian_block_adaptive,10,NA,32.5574454788168,0.08038678669263204,0_1,2
mnist,2026,gaussian_block_adaptive,20,NA,57.98428657961453,0.04347066981831477,0_1,0
mnist,2026,gaussian_block_adaptive,20,NA,54.85126431024943,0.0743160092101057,0_1,1
mnist,2026,gaussian_block_adaptive,20,NA,40.94727862522896,0.11860439219208374,0_1,2
